topicId,P@10,P@50,MAP@100,MAP@20,system
445,0.8,0.28,0.6302530410865107,0.8549175970228603,Flab8ax
446,0.6,0.68,0.7060156854283792,0.6722950111218575,Flab8ax
447,1.0,0.28,0.8812754482224625,1.0,Flab8ax
448,0.1,0.18,0.20036764516232303,0.235042735042735,Flab8ax
449,0.5,0.18,0.4114205583385997,0.7238455988455987,Flab8ax
450,0.8,0.78,0.8135996162893511,0.8797427427890915,Flab8ax
401,1.0,0.92,0.9231899905309829,0.9945983379501384,GE8MTD2
402,0.6,0.3,0.5058996209029362,0.8376748251748254,GE8MTD2
403,1.0,0.38,0.905681808794298,0.9963235294117647,GE8MTD2
404,0.4,0.28,0.38070665682955823,0.5427830940988836,GE8MTD2
405,0.6,0.34,0.58172313227528,0.7309105333169506,GE8MTD2
406,0.4,0.18,0.5060379313668788,0.5879750457875459,GE8MTD2
407,0.6,0.38,0.5885808177436026,0.7765728715728717,GE8MTD2
408,0.7,0.36,0.5341534754168016,0.8188754427390791,GE8MTD2
409,0.4,0.14,0.4509248366120205,0.8526315789473685,GE8MTD2
410,1.0,0.74,0.8784826912981769,1.0,GE8MTD2
411,0.8,0.2,0.7633640180878554,0.9390432098765432,GE8MTD2
412,1.0,0.5,0.7635159805970669,0.9511031538121323,GE8MTD2
413,0.6,0.36,0.5224197469921635,0.7128584650643476,GE8MTD2
414,0.9,0.5,0.725070674202649,0.9275059266130696,GE8MTD2
415,0.8,0.94,0.8996329715750051,0.8883463873014958,GE8MTD2
416,0.4,0.32,0.37428465260987137,0.4032434761278931,GE8MTD2
417,0.0,0.14,0.13882053829624721,0.1346153846153846,GE8MTD2
418,0.7,0.32,0.5013040563676672,0.9416666666666667,GE8MTD2
419,0.3,0.18,0.4014541014541015,0.42458018172303885,GE8MTD2
420,0.4,0.28,0.3126212097316756,0.3798802561960457,GE8MTD2
421,0.2,0.16,0.28798863663035396,0.4797979797979797,GE8MTD2
422,0.6,0.3,0.5245784857920077,0.8566544566544566,GE8MTD2
423,0.9,0.24,0.7915848615526296,0.9290209790209792,GE8MTD2
424,0.9,0.56,0.6868303505321257,0.9184870375582449,GE8MTD2
425,1.0,0.82,0.901039142512317,1.0,GE8MTD2
426,0.9,0.76,0.8018303667250648,0.9040416488300905,GE8MTD2
427,0.9,0.38,0.6289279818775622,0.9487807943690297,GE8MTD2
428,0.7,0.42,0.5409364734375047,0.868903318903319,GE8MTD2
429,0.4,0.14,0.6735001566416041,0.7546768707482994,GE8MTD2
430,0.5,0.12,0.6487484737484738,0.6487484737484738,GE8MTD2
431,0.8,0.76,0.786278901495767,0.8598377574867514,GE8MTD2
432,0.0,0.0,0.017857142857142856,0.0,GE8MTD2
433,0.1,0.06,0.14898588428000192,0.22549019607843135,GE8MTD2
434,0.8,0.7,0.7288140721908934,0.8242832231730259,GE8MTD2
435,0.4,0.42,0.4487068390264048,0.6125272331154684,GE8MTD2
436,1.0,0.6,0.7516719077626479,0.9584363553113554,GE8MTD2
437,0.2,0.18,0.2815326380969316,0.4838235294117647,GE8MTD2
438,0.4,0.44,0.520760674035015,0.5977685039991542,GE8MTD2
439,0.4,0.18,0.31752482300960133,0.7875,GE8MTD2
440,0.8,0.2,0.7460898197662903,1.0,GE8MTD2
441,0.8,0.22,0.7463564213564212,0.7709920634920634,GE8MTD2
442,0.0,0.02,0.09090909090909091,0.09090909090909091,GE8MTD2
443,0.5,0.24,0.37474009694201343,0.7861904761904762,GE8MTD2
444,0.7,0.16,0.6075530025530026,0.7968253968253968,GE8MTD2
445,0.9,0.54,0.8125574222692508,0.9487065518283269,GE8MTD2
446,0.9,0.62,0.7110582730891145,0.9265810068199776,GE8MTD2
447,0.0,0.06,0.06033418475947211,0.0,GE8MTD2
